"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VP","Fahrt[Manuell]","Fahrt[HandsOn]","Fahrt[HandsOff]","ManuellNotizProband","ManuellNotizFahrt","HOnNotizProband","HOnNotizFahrt","HOffNotizProband","HOffNotizFahrt","SonstigeAnmerkungen","FahrerInitierteTrans","SysteminitierteTrans","DMS","HMI","Geschwindigkeit","Systemverhalten","BewertungL2","L2PrivatesFahrzeug[ACC]","L2PrivatesFahrzeug[Spurhaltung]","L2PrivatesFahrzeug[Haendefrei]","AnmerkungenBewertung","KommentareL2","KommentareStudie"
"16","2022-07-13 16:05:08","3","de","394729363","2022-07-13 14:52:20","2022-07-13 16:05:08","11","","Y","","","","fast ausschließlich Konzentration auf Tablet, nur kurze Blicke zum Fahrgeschehen, eine Hand am Lenkrad, Szenario 2 nicht erkannt, Hat App beim Tablet ausversehen beendet und dann neugestartet Szenario 4 zu spät erkannt, Notbremsung ausgelöst, währenddessen nach links gewechselt, nach Baustelle wieder Automation aktiviert und Aufmerksamkeit auf NDRT, dabei HandsOff bis Warnmeldung, danach HandsOn, Szenario 6 nicht erkannt, einmal HandsOnDetection wegen zu wenig Druck am Lenkrad, Szenario 8 erkannt, ganz schnell nach links ausgewichen, keine Auslösung Notbremsung","","","","","zu sehr ablenkt, um Geschwindigkeitsänderungen zu bemerken (2,6), Warnschild bei Baustelle gesehen, Probandin dachte, System würde selber verzögern, Pannenfahrzeug sehr spät erkannt, kurz rübergeschaut und dann nach links gezogen","","sehr hilfreich, teilweise nur Hand aufgelegt statt Lenkrad festgehalten","alles i.O.","Szenario 2 und 6 nicht erkannt, sonst alles i.O.","Keine Relation beim Bremsen, Beschleunigen, gewünscht wäre zusätzliche EyesOnRoad Detection","EheJa","Ja","Ja","Manue","Längsführung v.a. bei langen Fahrten","",""
"17","2022-07-13 17:40:11","3","de","159907590","2022-07-13 16:35:41","2022-07-13 17:40:11","12","","","Y","","","","","abwechselnd Blicke auf NDRT und Straße, angespannt, häufige Warnmeldungen bis zur 2. Stufe, versucht die Warnungen mit kurzen Blicken kurz vor Warnung auszutricksen, viele Kopfbewegungen, genervt, Szenario 2 nicht erkannt, oft und langes Gähnen, starke Müdigkeit, Szenario 4 erkannt, frühzeitig nach links gewechselt, schiefe Kopfbewegungen nach rechts zum Tablet, Szenario 6 nicht erkannt, viele Kopfbewegungen, verspannt, genervt von Warnmeldungen, Szenario 8 nicht erkannt, Notbremsung, dann nach links ausgewichen","","Proband hat die Fahrt am Abend nach anstregenden Tag absolviert, Müdigkeit"," Systemvertrauen, Baustelle recht früh erkannt, aber noch schnell Antwort eingeben, Verzögerung bemerkt, Bei Pannenfahrzeug  noch schnell Toten Winkel geprüft und nach links","","Systemvertrauen, alle paar Sekunden wird man gezwungen auf die Straße zu schauen. Relativ nervig, aber vollkommen wichtig, versucht, vorzuahnen","ab und zu Geschwindigkeit abgeglichen, ACC Grafik","Verzögerung von 120 auf 100 bemerkt, aber Szenario 2 und 6 nicht erkannt,","wäre cool, wenn Spurwechsel eigenständig durchgeführt wird","Ja","Ja","Ja","Ja","","","Tote Winkel hat aufgrund der Leinwände nicht richtig funktioniert"
"18","2022-07-15 10:25:50","3","de","41598627","2022-07-15 09:32:08","2022-07-15 10:25:50","13","Y","","","Schlangenlinien, gelegentlich kurze auf Standspur gekommen, meiste Aufmerksamkeit auf Fahren, gelegentlich NDRT, Szenario 1 nicht erkannt, nach paar Minuten vemehrt Aufmerksamkeit auf Tablet, Probandin fährt ofters 130 km/h, öfter Abweichen auf Standspur v.a. in Kurven, Szenario 2 nicht erkannt, Szenario 3 erkannt, Handy der Probandin hat im Versuchsraum (nicht Simulator) zwischendrin geklingelt,erhöhte Aufmerksamkeit auf Fahrgeschehen ab min 20, Szenario 4 erkannt, rechtzeitig nach links gewechselt , Szenario 5 erkannt, gelangweilt, Szenario 7 nicht erkannt, Szenario 8 erkannt, gebremst, nach links gezogen, sehr kurz Notbrmesung aktiv, da noch nicht vollstädnig auf linker SPur","Autos auf der linken Spur sind nach der Baustelle sehr langsam gefahren","","","","","","Baustelle frühzeitig und zügig erkannt, dann eingereiht, hohe Aufmerksamkeit bei Pannenfahrzeug","","","i.O.","2-3 mal 100 km/h Geschwindigkeit erkannt","","","","","","","","Schlangenlinien durch konzentriertes Tippen auf der Tastatur beim NDRT, anstrengender als Lesen, Lenkung sehr feinfühlig, Suchen der Buchstaben auf der Tastatur, Handyklingeln und Smartwatchbenachrichtigung 1 mal, Sitzposition weiter nach vorne als üblich"
"19","2022-07-15 17:30:59","3","de","1584735885","2022-07-15 16:22:21","2022-07-15 17:30:59","14","","Y","","","","hohe Aufmerksamkeit für NDRT, Warnmeldung nach 9 min, da zu wenig Druck bei HandsOnDetection, Szenario 2 nicht erkannt, nur kurze Blicke zum Fahrgeschehen, teilweise kurze HandsOff Fahrten, um Sachen einzutippen, Szenario 4 erkannt aber spät reagiert, minimale Aktivierung der Notbremsung beim linksfahren, Baustelle teilweise 105 km/h, oft Warnmeldungen, da HandsOff für NDRT, mit beiden Händen HandsOff, sehr geringe Aufmerksamkeit für Straße, Müdigkeit, Kratzen am Ohr, Szenario 6 nicht erkannt, bei Warnungen manchmal schreckhaft, Gähnen, Szenario 8 nicht erkannt, Notbremsung, Ausweichen nach links","","","","","Baustelle bei 200 m Schild erkannt, hat Situation erkannt, ganz kurz Notbremsung (hat Proband nicht gehört/erkannt), Baustelle nicht erkannt, dann Rückspiegel, nach links gezogen","","Warnmeldung ausgelöst durch beidhändiges Tippen oder zu wenig Druck am Lenkrad ausgeübt, nicht nervig, teils schreckhaft","i.O.","Szenarien 2 und 6 nicht erkannt","Spurwechsel nicht nötig","Ja","Ja","Ja","Manue","","","Rückspiegel links zu weit weg eingestellt"
"20","2022-07-15 19:30:39","3","de","1112214273","2022-07-15 18:23:14","2022-07-15 19:30:39","15","","","Y","","","","","genervt, gestresst durch Warnmeldungen, beobachtet Geschwindigkeitslimits, hat Muster von Warnung erkannt, nach 8 min vermehrte Konzentration auf Fahrgeschehen, Szenario 2 nicht erkannt, vor Baustellenszenario fast ständigzum Fahrgeschehen geschaut, Szenario 4 frühzeitig erkannt und ohne Notbremsung rüber, Wenig Warnmeldungen, da rechtzeitig oder oft zur Straße geschaut wird, Szenario 6 erkannt und manuell Geschwindigkeit reduziert, danach wieder Automation aktiviert (120), gelangweilt, Szenario 8 nicht rechtzeitig erkannt, Notbremsung eingeleitet, dann nach links","","","Baustelle schon ab ersten Schild erkannt, Übernahme, da kein Spurwechsel, zu viel Verantwortung abzugeben, wenn Spurwechsel eigenständig passiert wäre. Pannenfahrzeug: sie vermutet, in den Seitenspiegel vorher geschaut zu haben, bevor nach links ausgewichen wurde","","bewusst, immer mal wieder nach vorne geschaut, austricksen, LED Lichter im Auge gesehen, oft davon erschrocken, eher visuelle/auditive Wahrnehmung, hat Probandin oft erschrocken","i.O. Tempo gebraucht, und Status der Automation","Szenario 6: erkannt , runtergebremst, aber dennoch kurz unsicher, weil der andere Verkehr nicht langsamer wurde, bei 100 geblieben, dann 120 mit Automation, ansonsten auf Schilder geachtet","i.O.","EheJa","Unsic","EheJa","Ja","","","Probandin wurde am Ende ein bisschen schlecht"
"21","2022-07-16 10:26:53","3","de","1210016768","2022-07-16 09:34:29","2022-07-16 10:26:53","16","Y","","","Schlangenlinien, am Anfang in Mittelleitplanke gefahren, öfters teilweise auf Standspur (häufig) und auf Überholspur und Beinahekollision mit Fahrzeugen, Konzentriert, häufiges Abweichen von der Fahrspur und Korrigieren, Szenario 2 erkannt und abgebremst, teilweise mit Schwerpunkt des Fahrzeugs auf Überholspur, teilweise 135 km/h schnell, Szenario 3 erkannt, in Kurven mehr Aufmerksamkeit für Fahrzeugführung benötigt, Baustelle frühzeitig erkannt, teils rückartig/schnell gebremst und eingefädelt, bei m14 ca. 3200 m auf Überholspur und Leitplanken geraten, Szenario 5-7 erkannt, Szenario 8 nicht erkannt bis kompletter Stilsltand mit Notbremsung","","","","","","","Am schlimmsten, wenn man Antworten eintippen muss, Pannenfahrzeug nicht gesehen, beim Überholen nach links geschaut","","","i.O., beim Notbremsen Alarmton ausschlaggebend, dann Warnung gelesen","die meisten Geschwindigkeiten richtig erkannt, kurz verwirrt, ob das Schild (100) richtig angezeigt wurde, dann 110 km/h gefahren","","","","","","","","Spurhalten war sehr schwer, Assistant wäre gut"
"22","2022-07-16 13:01:46","3","de","1100679094","2022-07-16 11:39:34","2022-07-16 13:01:45","17","","Y","","","","Hände am Lenkrad, meiste Konzentration auf NDRT, Szenario 2 nicht erkannt, Baustelle erkannt, aber spät rüber und mit leichten Schlangenlinien, minimale Auslösung Notbremsung, angespannt, mehrmals Warnmeldungen für HandsOn, da Hände zu locker am Lenkrad, Szenario 6 nicht erkannt, Pannenfahrzeug nicht erkannt, Notbremsung und dann nach links ausgewichen","","","","","Baustelle 300-400 m vorher erkannt, sehr indriekte Lenkung, wollte in der Baustelle Automation aktivieren, Bei Pannenfahrzeug auf Alarmton reagiert, in Rückspiegel geschaut","","Hand war immer dran, eingehakt in der Speiche unten, aber System hat es nicht erkannt. Nicht bewusst HandsOff gefahren","i.O.","nicht erkannt, Brems- und Beschleunigungsvorgängen erkannt","Spurwechsel wäre gut","Ja","Ja","Ja","Manue","","Gas, Bremse, Lenkung sehr indirekt",""
"23","2022-07-16 17:00:20","3","de","1000006484","2022-07-16 15:46:50","2022-07-16 17:00:20","18","","","Y","","","","","konzentriert, nach 5 min Warnmuster erkannt und kurze Blicke auf Straße, um diese zu deaktiveren, Szenario 2 nicht erkannt, Müdigkeit, genervt, Baustelle sehr früh erkannt und früh nach links gewechselt, bei manueller Fahrt einmal Schlangenlinien, Konzentration auf Fahrgeschehen danach, angestrengt, Szenario 6 nicht erkannt, Pannenfahrzeug nicht erkannt, Notbremsung bis zum Halt, dann nach links nachdem in Spiegel geschaut wurde","teilweise doppelte Warnmeldungen , weil Proband zu kurz auf Straße geschaut hat (unter 200 ms) bzw. ungenaue Kalibrierung","","Baustelle sehr frühzeitig erkannt, in Baustelle Automation versucht zu aktivieren, Pannenfahrzeug gar nicht erkannt","","manchmal Warnintervalle random wahrscheinlich nicht ganz genauer Kalibrierung, mit kurzen Blicken versucht, das System nicht zu aktivieren, im Moment des Piepens nervig, während NDRT hat Proband darauf gewartet, dass es Piepsen, nicht erschrocken","","Szenario 2 und 6 nicht erkannt, Beschleunigungen und Bremsvorgänge erkannt, einmal vorzeitig von 100 auf 120 vor 120 Schild Automation übersteuert","SPurwechsel wäre bequemer gewesen","EheJa","EheJa","Ja","Unsic","","","Irgendwann Quiz durchschaut und auf Einzelwörter konzentriert"
"24","2022-07-16 18:27:06","3","de","430677314","2022-07-16 17:40:56","2022-07-16 18:27:06","19","Y","","","fährt langsam (meist nur 100-105 statt 120, teils auch nur 75-80), Schwierigkeiten, sich auf das Tablet zu konzentrieren, Schlangenlinien, auf Überholspur gefahren beim Eintippen, dabei auch sehr langsam werdend, Fastkollision mit Fahrzeug Ende m2 (8 min, 2 mal, auch min 18), sehr hohe Schlangenfahrt, Schwierigkeiten, in der Spur zu bleiben und zu lenken, kann sich nicht auf beides konzentrieren, häufig Spur verlassen und auf Überholspur gekommen","teils Durchsagen, da sehr langsam gefahren, Versuch musste abgebrochen werden, weil Notbremsassistant nach Notbremsung aktiv blieb (wohl nicht richtig deaktiviert), zudem Autos auf der rechten Spur in der Baustelle (seit m2)","","","","","","","","","","","","","","","","","","Versuch wurde abgebrochen"
"25","2022-07-17 18:27:31","3","de","629310407","2022-07-17 16:58:16","2022-07-17 18:27:31","20","","Y","","","","Proband hat Brille für Fernsicht auf, für Fragen am Tablet ist es ohne Brille besser, beides jedoch mit Brille beim Versuch, Probandin wollte am Anfang überholen und Automation deaktivieren, Szenario 2 nicht erkannt, Probandin hat bei m5 einmal Automation deaktiviert und dann wieder aktiviert, Szenario 4 erkannt, jedoch nur langsam nach links gewechselt, sodass kurzzeitig Notbremsung aktiv war, Szenario 6 nicht erkannt, meiste Zeit mit Tablet beschäftigt, Szenario 8 nicht erkannt, Notbremsung und dann nach links ausgewichen","Erste Probandenfahrt nach 30 sec beendet, weil Controller keinen Kontakt mehr hatte, 2. ohne Fehler (HandsOn2), Fahrzeuge hinter Hinterfahrzeuge durch Traffic","","","schlechte Ereknnung, ob Probandin Tablet ansieht","relativ spät Baustelle erkannt, Pannenfahrzeug ohne Zurückblicken nach links gewechselt. ","","nicht erforderlich","i.O.","Szenarien 2 und 6 selber nicht erkannt","versucht, die Automation in der Baustelle zu aktivieren, Spurwechsel auch ,wenn es sicher ist","Ja","Ja","Ja","Manue","","",""
"26","2022-07-17 19:56:00","3","de","1848167067","2022-07-17 19:07:23","2022-07-17 19:56:00","21","Y","","","etwas Schlangenlinien in eigener Spur, Szenario 1, 2 nicht erkannt, gute Spurführung, manchmal leicht auf linke Spur, Szenario 3 erkannt, fährt im Geschwindigkeitsbereich, Szenario 4 frühzeitig erkannt, auf links gewechselt ohne Notbremsung, Szenario 5 erkannt, genervt, Szenario 6 nicht erkannt, Szenario 7 etwas später erkannt, teilweise kurzzeitig auf Standspur, meiste Konzentration auf Tablet, zwischendurch Lenkkorrigierung und Blick auf Kombidisplay, Szenario 8  nicht erkannt, nach links ausgewichen
","","","","","","","Proband war etwas gewohnt am Handy zu sein, Baustelle recht früh erkannt, bei Pannenfahrzeug in Seitenspiegel kurz geschaut (gerade eingeben der Antwort), ","","","i.O.","kurz gewundert, dann geschwindigkeit bei szenario 6 angepasst, teils abgekommen vom Fahrweg","","","","","","","",""
"27","2022-07-17 22:11:09","3","de","289053843","2022-07-17 20:42:08","2022-07-17 22:11:09","22","Y","","","Schlangenlinien in eigener Fahrbahn, teils 135 km/h schnell, Szenario 1 erkannt, aber nur auf 110 km/h runter, teils Berührung mit Standspur, Szenario 2 erkannt, vorher aber schon langsamer gefahren, teilweise viel langsamer als erlaubt unterwegs (100 statt 120), hin und her Geschlängel, Szenario 3 erkannt, immer mal wieder langsame und schnelle Fahrphasen, teils nur 90-95 km/h schnell, Baustelle früh erkannt, volle Konzentration darauf und rechtzeitig nach links ohne Notbremsung, Szenario 5 erkannt, teils auf Überholspur gekommen, angespannt, Szenario 6 nicht erkannt, Szenario 7 erkannt, öfter Abweichung von eigener Fahrspur, unkonstante Geschwindigkeit, Szenario 8 erkannt, gebremst, dann wieder nach beschelunigt und links am Pannenfahrzeug vorbei, kurz Notbremsung aktiv","","","","","","","Baustelle frühzeitig erkannt, Aufmerksamkeit auf Fahrgeschehen, Pannenfahrzeug selbst erkannt, nach links gewechselt mit Blick in Seitenspiegel","","","Geschwindigkeit Symbol etwas größer","schwer, die Geschwindigkeit konstant zu halten während des Tippens","","","","","","","",""
"28","2022-07-18 10:24:13","3","de","1839753443","2022-07-18 09:29:22","2022-07-18 10:24:13","23","Y","","","etwas Schlagenlinien, abwechselnd NDRT und Fahraufgabe, Szenario 1 erkannt, teils etwas langsamer, Fahrsprünge, teils kurzzeitig über Mittelspur (mehrmals Schlenker), Szenario 2 erkannt, teilweise vollständige Konzentration auf Straße, Szenario 3 erkannt, Baustelle erkannt und frühzeitig nach links gewechselt ohne Notbremsung, Szenario 5 erkannt, teils auf Standspur in Kurven (öfter), im Geschwindigkeitsbereich zwischen 110 und 130 km/h, Szenario 6 erkannt, Szenario 7 erkannt, am Ende meiste Aufmerksamkeit auf Fahrgeschehen (m11), gelangweilt, Szenario 8 erkannt, dann aber noch beschleunigt und Notbremsung bis nach links ausgeschert und überholt","","","","","","","paar mal Schlangenlinien (vorallem in den Kurven), Baustelle frühzeitig erkannt, Pannenfahrzeug erkannt, stark abgebremst, in Seitenspiegel geschaut","","","Spurhalteassistant wäre gut gewesen, Head Up Display /Virtual Cockpit","alle erkannt","","","","","","","","Wortvorschläge beim Tablet"
"29","2022-07-18 16:29:59","3","de","961067417","2022-07-18 15:35:27","2022-07-18 16:29:59","24","Y","","","teilweise langsamer gefahren, Szenario 1 erkannt, genervt von blöden Fragen, Fokus auf Fahrgeschehen, Szenario 3 erkannt, oft 110 km/h, gelegentlich auf Fragen im Tablet geschaut, Baustelle serhf rüh erkannt und noch vor 200 m Schild nach links eingeschert, Szenario 5 erkannt, meiste Aufmerksamkeit auf Fahraufgabe, Szenario 6 erkannt, gute Fahrführung, Szenario 7 erkannt, gelangweilt, Szenario 8 nicht erkannt, noch kurz selbst gebremst, bevor Notbremsung aktiviert wurde","","","","","","","Baustelle frühzeitg erkannt, Baustellensituation selbst gebremst, Notbremsung, dann links rüber, rote Display zuerst gesehen bei Notbremsung","","","digitale Anzeige kognitiv anstrengender","alle erkannt, da vorwiegend auf Geschwindigkeitsschilder geachtet","","","","","","","",""
