"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VPNummer","Fahrt[Manuell]","Fahrt[HandsOn]","Fahrt[HandsOff]","Probandencode[Vorname]","Probandencode[StrasseWohnort]","Probandencode[TagGeburtstag]","VertrauenNachbefragu[Einschaetzen]","VertrauenNachbefragu[ZustandSystem]","VertrauenNachbefragu[KenneSysteme]","VertrauenNachbefragu[Vetrauenswuerdig]","VertrauenNachbefragu[Unbekanntvorsichtig]","VertrauenNachbefragu[Zuverlaessig]","VertrauenNachbefragu[Unvorhersehbar]","VertrauenNachbefragu[Wohlergehen]","VertrauenNachbefragu[Vertrauen]","VertrauenNachbefragu[Ausfall]","VertrauenNachbefragu[Nachvollziehen]","VertrauenNachbefragu[Systemvertrauen]","VertrauenNachbefragu[komplizierteAufgaben]","VertrauenNachbefragu[VerlassSystem]","VertrauenNachbefragu[FehlerSystem]","VertrauenNachbefragu[VorhersageSystem]","VertrauenNachbefragu[NutzungSystem]","VertrauenNachbefragu[AutomatisierteSystem]","VertrauenNachbefragu[UeberzeugungSystem]","Akzeptanz[NuetzlichFahren]","Akzeptanz[Fahrleistung]","Akzeptanz[ZielSicher]","Akzeptanz[InteraktionSystem]","Akzeptanz[LeichtesUmgang]","Akzeptanz[EinfacheBedienung]","Akzeptanz[ErlernenBedienung]","Akzeptanz[GuteIdee]","Akzeptanz[InteressanterFahren]","Akzeptanz[SpassSystem]","Akzeptanz[MagInteraktionSystem]","Akzeptanz[SicheresFahrverhalte]","Akzeptanz[NoetigeWissen]","Akzeptanz[KompatibelSystem]","Akzeptanz[BeabsichtigungNutzun]","Akzeptanz[NutzungSystem]","Akzeptanz[NutzungMonate]","Akzeptanz[GefaehrlichSystem]","Akzeptanz[ErhoehteAufmerksamke]","Akzeptanz[AblenkenVerkehr]","Akzeptanz[Sicherfuehlen]","Akzeptanz[VerringerungUnfall]","Akzeptanz[Nichthinschauen]","Systemverstaendnis[EineHandamSteuer]","Systemverstaendnis[Uebersteuern]","Systemverstaendnis[StetsUeberwachen]","Systemverstaendnis[SystemFahrsicherheit]","Systemverstaendnis[FahrfremdeTaetigkeit]","Systemverstaendnis[Bewusstaktivieren]","Systemverstaendnis[GeschwVorfahrzeug]","Systemverstaendnis[AusgleichenFahruntau]","Systemverstaendnis[AnderePersonFahraufg]","Systemverstaendnis[KeineanderenFahrzeug]","Systemverstaendnis[Systemgrenze]","Systemverstaendnis[Lenktautomatisch]","Systemverstaendnis[UebernahmeFahrsituat]","Systemverstaendnis[WachbleibenAutomatio]","Systemverstaendnis[NiemlasUnaufgeforder]","Systemverstaendnis[Schlagloecher]","Systemverstaendnis[MindestabstandVoraus]","Systemverstaendnis[EingestellteGeschwin]","Systemverstaendnis[FahrstreifenwechselF]","SystemeigenesFahrzeu[Nachrichtenlesen]","SystemeigenesFahrzeu[HandTelefonieren]","SystemeigenesFahrzeu[FestFreisprechanlage]","SystemeigenesFahrzeu[EinstellenKlimaanlag]","SystemeigenesFahrzeu[Essen]","SystemeigenesFahrzeu[MakeUp]","SystemeigenesFahrzeu[InteraktionBeifahrer]","SystemeigenesFahrzeu[SuchenTasche]","OptionalNDRT[Nie]","OptionalNDRT[Sehrs]","OptionalNDRT[Selten]","OptionalNDRT[Geleg]","OptionalNDRT[Oft]","OptionalNDRT[SeOft]","PrivatesFahrzeug[NachrichtenHandy]","PrivatesFahrzeug[TelefonierenHandy]","PrivatesFahrzeug[Freisprechanlage]","PrivatesFahrzeug[Infotainment]","PrivatesFahrzeug[Essen]","PrivatesFahrzeug[MakeUp]","PrivatesFahrzeug[Beifahrer]","PrivatesFahrzeug[ObjekteSuchen]","OptionalNDRTManuell[Nie]","OptionalNDRTManuell[SehrSelten]","OptionalNDRTManuell[Selten]","OptionalNDRTManuell[Gelegentlich]","OptionalNDRTManuell[Oft]","OptionalNDRTManuell[SehrOft]","Warnmeldungen[Warnungenzuhaeufig]","Warnmeldungen[SichermitWarnsystem]","Warnmeldungen[FahrfremdeohneWarnun]","Warnmeldungen[Laestig]","ReaktionaufWarnung[WarumertoentWarnung]","ReaktionaufWarnung[RichtigeReaktion]","ReaktionaufWarnung[BewusstIgnoriert]","ReaktionaufWarnung[AufmerksamkeitaufFah]","OptionalAnmerkungenW","UeberwachungHOffon[UeberwachungSystem]","UeberwachungManuell[AufmerksamManuell]","AnderesVerhalten","OptionalAnderesVerha","KommentareStudie","KommentareFahrt","KommentareFahrtManue"
"15","2022-07-12 22:17:24","9","de","483902685","2022-07-12 21:22:47","2022-07-12 22:17:24","5","","Y","","te","le","10","Weder","Vollz","Ehern","Weder","Vollz","Ehern","Ehern","Weder","Ehern","Eherz","KA","Garni","Weder","Ehern","Vollz","Weder","Ehern","Eherz","Eherz","Voll0","Voll1","Neutr","Voll1","Neutr","Voll2","Voll2","Voll1","Neutr","Nich2","Nich1","Nich1","Voll1","Neutr","Nich2","Nich2","Neutr","Nich2","Nich2","Voll1","Voll2","Voll0","Nich0","Zutre","Zutre","Zutre","Nzutr","Nzutr","Zutre","Zutre","Nzutr","Nzutr","Nzutr","Nzutr","Zutre","Zutre","Zutre","Nzutr","Zutre","Zutre","Unsic","Nzutr","Sehrs","Sehrs","Oft","Gele","Oft","Sehrs","Selte","Selte","","","","","","","","","","","","","","","","","","","","","Nich0","Voll1","Nich0","Nich0","Nie0","Nie1","Nie0","Nie0","","AO03","","Nein","","","",""
"16","2022-07-13 15:58:46","9","de","1624545714","2022-07-13 15:36:58","2022-07-13 15:58:45","11","","Y","","TH","MA","12","Eherz","Vollz","Ehern","Eherz","Vollz","Eherz","Weder","Eherz","Vollz","Vollz","Vollz","Eherz","Ehern","Eherz","Vollz","Eherz","Garni","Eherz","Vollz","Voll0","Voll1","Voll2","Voll2","Voll2","Voll2","Voll1","Voll1","Neutr","Voll2","Voll2","Voll2","Voll2","Voll1","Voll0","Voll1","Voll1","Voll2","Voll1","Voll0","Voll2","Voll2","Nich0","Zutre","Zutre","Zutre","Nzutr","Nzutr","Zutre","Zutre","Nzutr","Nzutr","Nzutr","Nzutr","Zutre","Zutre","Zutre","Nzutr","Zutre","Zutre","Nzutr","Nzutr","Gele","Gele","SeOft","Gele","Selte","Nie","SeOft","Gele","","","","","","","","","","","","","","","","","","","","","Nich1","Voll0","Nich0","Nich0","Immer","Immer","Nie0","Nie0","Lieber mehr Warnmeldungen, auch mit Tönen wären mir lieber für ein sicheres Gefühl","AO03","","Ja","Besonders durch die Aufgabe am Tablet zu arbeiten wurde ich stark abgelenkt. Man hat sich durch die langen Zeiten, in denen nichts passiert ist schnell zu sicher gefühlt. In echt sind die Konsequenzen gefährlicher","evtl rechts hinten noch mehr Blicke ermöglichen","",""
"17","2022-07-13 17:30:20","9","de","935063228","2022-07-13 17:04:37","2022-07-13 17:30:20","12","","","Y","KE","CA","08","Vollz","Vollz","Vollz","Vollz","Weder","Vollz","Ehern","Vollz","Vollz","Ehern","Vollz","Vollz","Vollz","Vollz","Ehern","Ehern","Vollz","Vollz","Vollz","Voll0","Voll0","Voll1","Voll0","Voll0","Voll0","Voll0","Voll0","Voll1","Voll1","Voll1","Voll1","Voll0","Voll2","Voll0","Voll0","Voll0","Nich2","Nich2","Nich2","Voll1","Voll0","Nich2","Zutre","Zutre","Unsic","Nzutr","Nzutr","Zutre","Zutre","Unsic","Nzutr","Nzutr","Nzutr","Zutre","Zutre","Zutre","Nzutr","Zutre","Zutre","Zutre","Nzutr","Selte","Oft","Oft","Oft","Oft","Selte","Oft","Gele","","","","","","","","","","","","","","","","","","","","","Nich0","Voll0","Voll0","Nich1","Immer","Imme1","Nie0","Immer","","AO06","","Nein","","","",""
"18","2022-07-15 10:20:41","9","de","1220251846","2022-07-15 09:31:58","2022-07-15 10:20:41","13","Y","","","NA","LE","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SehrS","SehrS","Oft","Geleg","SeOft","SehrS","SeOft","Geleg","","","","","","","","","","","","","","","","","4","Nein","","","",""
"19","2022-07-15 17:19:19","9","de","438135750","2022-07-15 16:54:38","2022-07-15 17:19:19","14","","Y","","NA","ED","18","Eherz","Eherz","Eherz","Vollz","Eherz","Eherz","Garni","Vollz","Eherz","Ehern","Eherz","Eherz","Garni","Eherz","Eherz","Eherz","Eherz","Vollz","Vollz","Voll0","Voll2","Voll2","Voll0","Voll0","Voll0","Voll0","Voll0","Nich2","Voll1","Voll1","Voll1","Voll0","Voll2","Voll0","Voll0","Voll0","Nich1","Nich1","Voll2","Voll1","Voll1","Nich1","Zutre","Zutre","Zutre","Nzutr","Nzutr","Zutre","Zutre","Unsic","Nzutr","Nzutr","Unsic","Zutre","Zutre","Zutre","Nzutr","Zutre","Zutre","Zutre","Nzutr","Sehrs","Gele","Nie","Oft","Nie","Nie","Oft","Sehrs","","","","","","","","","","","","","","","","","","","","","Nich0","Voll0","Voll0","Neutr","Immer","Nie1","Nie0","Geleg","","AO03","","Ja","Geschehen besser beobachtet","Geschwindigkeit konnte nicht eingeschätzt (gefühlt) werden","",""
"20","2022-07-15 19:22:44","9","de","584128619","2022-07-15 19:04:16","2022-07-15 19:22:44","15","","","Y","JA","TH","22","Eherz","Vollz","Garni","Vollz","Weder","Eherz","Garni","Vollz","Eherz","Ehern","Vollz","Weder","Ehern","Weder","Eherz","Garni","Garni","Weder","Eherz","Voll1","Nich2","Neutr","Voll2","Voll1","Voll0","Voll1","Voll2","Voll2","Voll2","Voll2","Voll2","Voll0","Neutr","Voll2","Voll2","Voll2","Nich1","Neutr","Neutr","Voll2","Neutr","Voll2","Nzutr","Zutre","Zutre","Nzutr","Unsic","Zutre","Zutre","Zutre","Nzutr","Nzutr","Unsic","Zutre","Zutre","Zutre","Nzutr","Unsic","Zutre","Zutre","Nzutr","Oft","SeOft","SeOft","SeOft","SeOft","Selte","Oft","Gele","","","","","","","","","","","","","","","","","","","","","Nich2","Voll0","Voll0","Neutr","Immer","Imme1","Nie0","Immer","","AO03","","Ja","ich hätte mich mehr auf die umgebung konzentriert","","",""
"21","2022-07-16 10:21:03","9","de","1539772911","2022-07-16 10:17:42","2022-07-16 10:21:03","16","Y","","","NE","HO","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nie","Nie","Nie","Oft","SehrS","Nie","Oft","Nie","","","","","","","","","","","","","","","","","1","Ja","Keine Beschäftigung mit dem Tablet, da zu gefährlich ","","","Spurenhalten war sehr schwierig für mich, besonders, wenn ich die Antwort in das Tablett eingegeben habe."
"22","2022-07-16 12:51:35","9","de","2082389508","2022-07-16 12:23:55","2022-07-16 12:51:35","17","","Y","","JA","HA","23","Eherz","Vollz","Vollz","Vollz","Vollz","Vollz","Garni","Vollz","Eherz","Ehern","Vollz","Vollz","Weder","Eherz","Ehern","Garni","Garni","Eherz","Eherz","Voll0","Neutr","Voll0","Voll0","Voll0","Voll0","Voll0","Voll0","Nich0","Neutr","Neutr","Voll0","Voll0","Neutr","Voll0","Voll0","Voll0","Nich0","Nich0","Neutr","Neutr","Voll0","Voll0","Zutre","Zutre","Zutre","Nzutr","Nzutr","Zutre","Zutre","Nzutr","Unsic","Nzutr","Nzutr","Nzutr","Zutre","Zutre","Nzutr","Unsic","Zutre","Zutre","Nzutr","Sehrs","Gele","SeOft","SeOft","SeOft","SeOft","SeOft","Selte","","","","","","","","","","","","","","","","","","","","","Nich0","Voll0","Voll1","Nich0","Immer","Immer","Nie0","Immer","","AO02","","Nein","","","",""
"23","2022-07-16 16:48:33","9","de","743962162","2022-07-16 16:24:12","2022-07-16 16:48:33","18","","","Y","RA","PO","15","Eherz","Vollz","Ehern","Weder","Ehern","Vollz","Ehern","Eherz","Eherz","Ehern","Vollz","Eherz","Eherz","Eherz","Eherz","Garni","Garni","Eherz","Eherz","Voll1","Nich1","Voll2","Voll1","Voll1","Voll2","Voll2","Voll1","Nich1","Nich2","Voll2","Nich2","Voll2","Nich1","Voll1","Voll2","Voll1","Nich1","Nich2","Voll2","Neutr","Voll2","Nich2","Nzutr","Zutre","Zutre","Nzutr","Zutre","Zutre","Zutre","Nzutr","Nzutr","Nzutr","Nzutr","Zutre","Zutre","Zutre","Nzutr","Zutre","Zutre","Zutre","Nzutr","Oft","Selte","Sehrs","Gele","Oft","Nie","Oft","Oft","","","","Landschaft/umgebung beobachten","","","","","","","","","","","","","","","","","Voll2","Nich1","Voll2","Voll2","Imme2","Nie2","Nie1","Imme2","Es erschien der Eindruck, dass das Toleranzintervall nicht immer gleich war (d.h. manchmal Warnung nach 5 Sekunden, manchmal nach 15)","AO03","","Nein","","","",""
"24","2022-07-17 18:23:33","9","de","1440475749","2022-07-17 17:56:52","2022-07-17 18:23:33","20","","Y","","ta","fr","10.30.","Garni","Eherz","Garni","Eherz","Ehern","Eherz","Garni","Vollz","Eherz","Weder","Eherz","Eherz","Garni","Weder","Weder","Ehern","Garni","Vollz","Vollz","Voll0","Neutr","Neutr","Voll0","Voll0","Voll0","Voll0","Voll0","Neutr","Voll0","Voll0","Neutr","Neutr","Neutr","Voll0","Voll0","Neutr","Neutr","Voll0","Neutr","Neutr","Nich0","Nich0","Zutre","Zutre","Zutre","Nzutr","Unsic","Zutre","Unsic","Nzutr","Nzutr","Nzutr","Nzutr","Zutre","Zutre","Zutre","Nzutr","Zutre","Zutre","Zutre","Nzutr","Nie","Nie","Oft","Gele","Selte","Nie","Gele","Nie","","","","","","","","","","","","","","","","","","","","","Nich0","Voll0","Nich0","Nich0","Immer","Immer","Nie0","Nie0","","StAuf","","Ja","ich würde nichts am am Tablet machen","","",""
"25","2022-07-17 19:52:34","9","de","2102810391","2022-07-17 19:37:56","2022-07-17 19:52:34","21","Y","","","NA","WI","03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SeOft","SeOft","SeOft","Oft","Oft","Nie","SeOft","Selte","","","","","","","","","","","","","","","","","2","Nein","","","",""
"26","2022-07-17 22:08:31","9","de","87348690","2022-07-17 21:01:53","2022-07-17 22:08:31","22","Y","","","ne","ak","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Selte","Geleg","Geleg","Oft","Oft","SehrS","Oft","Selte","","","","","","","","","","","","","","","","","6","Ja","nie mit einem Tablet so lange bescheftigen währen der fahrt","","",""
"27","2022-07-18 10:18:13","9","de","448805431","2022-07-18 10:08:22","2022-07-18 10:18:13","23","Y","","","LA","BA","04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SehrS","SehrS","Nie","Oft","SehrS","Nie","Geleg","SehrS","","","","","","","","","","","","","","","","","4","Ja","Keine Nutzung von externen Geräten während der Fahrt sowie kein Lesen von Texten","Abweichung zwischen Geschwindigkeit auf Schildern und der Schilderkennung","",""
