"group","variable","n","0","1","2","3","4","5","6"
"L2 H-on","System_u_14",20,0,19,1,0,0,0,0
"L2 H-on","System_u_15",20,0,19,1,0,0,0,0
"L2 H-on","System_u_16",20,1,14,5,0,0,0,0
"L2 H-on","System_u_17",20,0,19,1,0,0,0,0
"L2 H-on","System_u_18",20,2,17,1,0,0,0,0
"L2 H-on","System_u_19",20,1,19,0,0,0,0,0
"L2 H-off","NDRTs.NDRT1.",20,4,2,3,6,5,0,0
"L2 H-off","NDRTs.NDRT2.",20,2,2,3,5,5,3,0
"L2 H-off","NDRTs.NDRT3.",20,0,1,2,3,7,7,0
"L2 H-off","NDRTs.NDRT4.",20,0,1,3,4,6,6,0
"L2 H-off","NDRTs.NDRT5.",20,1,0,1,4,11,3,0
"L2 H-off","NDRTs.NDRT6.",20,12,2,4,1,1,0,0
"L2 H-off","NDRTs.NDRT7.",20,0,1,0,2,11,6,0
"L2 H-off","NDRTs.NDRT8.",20,2,2,2,10,4,0,0
"L2 H-off","SubjUeberwachguete.1.",20,0,2,4,2,7,4,1
"L2 H-off","SubjEinflussSetting",20,13,7,0,0,0,0,0
"L2 H-off","Warnmeldungen.Warnungenzuhaeufig.",20,3,3,5,2,6,1,0
"L2 H-off","Warnmeldungen.SichermitWarnsystem.",20,0,1,0,1,1,3,14
"L2 H-off","Warnmeldungen.FahrfremdeohneWarnun.",20,1,2,0,1,6,1,9
"L2 H-off","Warnmeldungen.Laestig.",20,3,4,6,1,5,1,0
"L2 H-off","ReaktionaufWarnung.WarumertoentWarnung.",20,0,0,1,0,4,6,9
"L2 H-off","ReaktionaufWarnung.RichtigeReaktion.",20,0,1,1,0,1,6,11
"L2 H-off","ReaktionaufWarnung.BewusstIgnoriert.",20,11,5,2,0,1,1,0
"L2 H-off","ReaktionaufWarnung.AufmerksamkeitaufFah.",20,0,0,0,1,3,7,9
"L2 H-off","L2PrivNutzung",19,0,0,1,9,9,0,0
"L2 H-off","L2Komponenten.Laengs.",19,0,1,1,2,15,0,0
"L2 H-off","L2Komponenten.Quer.",19,0,1,1,7,10,0,0
"L2 H-off","L2Komponenten.Hoff.",19,0,1,3,6,9,0,0
"L2 H-off","System_u_01",20,3,16,1,0,0,0,0
"L2 H-off","System_u_02",20,0,19,1,0,0,0,0
"L2 H-off","System_u_03",20,2,16,2,0,0,0,0
"L2 H-off","System_u_04",20,2,17,1,0,0,0,0
"L2 H-off","System_u_05",20,5,12,3,0,0,0,0
"L2 H-off","System_u_06",20,0,20,0,0,0,0,0
"L2 H-off","System_u_07",20,1,18,1,0,0,0,0
"L2 H-off","System_u_08",20,3,15,2,0,0,0,0
"L2 H-off","System_u_09",20,0,20,0,0,0,0,0
"L2 H-off","System_u_10",20,2,17,1,0,0,0,0
"L2 H-off","System_u_11",20,1,16,3,0,0,0,0
"L2 H-off","System_u_12",20,3,17,0,0,0,0,0
"L2 H-off","System_u_13",20,1,19,0,0,0,0,0
"L2 H-off","System_u_14",20,1,19,0,0,0,0,0
"L2 H-off","System_u_15",20,1,18,1,0,0,0,0
"L2 H-off","System_u_16",20,0,18,2,0,0,0,0
"L2 H-off","System_u_17",20,0,19,1,0,0,0,0
"L2 H-off","System_u_18",20,3,17,0,0,0,0,0
"L2 H-off","System_u_19",20,0,20,0,0,0,0,0
